Andorra,0.0
Angola,0.0
Antigua and Barbuda,0.0
Bahamas,0.0
Barbados,0.0
Belgium,0.0
Belize,0.0
Cameroon,0.0
Cape Verde,0.0
Comoros,0.0
Costa Rica,0.0
Djibouti,0.0
Federated States of Micronesia,0.0
Finland,0.0
Guyana,0.0
Kazakhstan,0.0
Kiribati,0.0
Lesotho,0.0
Liechtenstein,0.0
Macedonia,0.0
Malta,0.0
Marshall Islands,0.0
Moldova,0.0
Monaco,0.0
Mozambique,0.0
Nauru,0.0
Nepal,0.0
San Marino,0.0
Sao Tome and Principe,0.0
Seychelles,0.0
Slovakia,0.0
Solomon Islands,0.0
Switzerland,0.0
Tunisia,0.0
Turkmenistan,0.0
Uganda,0.0
Zambia,0.0
